StartTime,CookTime,PlatenTime,CookZone,RearSP,MidSP,FrontSP,RearPID,MidPID,FrontPID
Time: 2016 Jan 22 13:36:46,156,10,2910,1406,1406,1406,"[5, 1, 1, 10, 1000, 1, 32767, -10, -22222]","[5, 1, 1, 10, 1000, 1, 32767, -10, -22222]","[5, 1, 1, 10, 100, 1, 32767, -50, -22222]"
Time,RearTemp,MiddleTemp,FrontTemp,UpGrate,LoGrate,RearPWM,MiddlePWM,FrontPWM,UpPWM,LoPWM
0,992,1003,1246,1310,1307,70,630,0,645,640
1,994,1005,1248,1313,1310,70,630,0,645,640
2,994,1005,1248,1313,1310,60,510,1000,630,735
3,996,1006,1249,1317,1313,60,510,1000,630,735
4,996,1006,1249,1317,1313,60,510,0,510,520
5,997,1008,1252,1319,1317,1000,700,0,510,520
6,997,1008,1252,1319,1317,1000,700,0,510,520
7,998,1011,1254,1323,1320,1000,480,0,595,610
8,998,1011,1254,1323,1320,1000,480,0,595,610
9,1000,1015,1257,1326,1323,40,565,0,580,495
10,1000,1015,1257,1326,1323,40,565,0,580,495
11,1000,1016,1259,1328,1326,1000,655,960,565,585
12,1000,1016,1259,1328,1326,1000,655,960,565,585
13,1000,1016,1259,1328,1326,1000,655,960,760,575
14,1002,1018,1261,1331,1327,30,540,0,760,575
15,1002,1018,1261,1331,1327,30,540,0,760,670
16,1004,1020,1262,1334,1329,0,525,0,650,670
17,1004,1020,1262,1334,1329,0,525,0,650,670
18,1005,1022,1263,1336,1332,1000,615,0,535,665
19,1005,1022,1263,1336,1332,1000,615,0,535,665
20,1006,1024,1267,1338,1335,1000,605,0,520,345
21,1006,1024,1267,1338,1335,1000,605,0,520,345
22,1006,1024,1267,1338,1337,0,595,0,610,535
23,1008,1027,1269,1340,1337,0,595,0,610,535
24,1008,1027,1269,1340,1337,0,480,900,390,630
25,1010,1028,1270,1343,1341,0,480,900,390,630
26,1010,1028,1270,1343,1341,0,480,900,390,630
