StartTime,CookTime,PlatenTime,CookZone,RearSP,MidSP,FrontSP,RearPID,MidPID,FrontPID
Time: 2016 Jan 22 13:35:11,156,10,2910,1406,1406,1406,"[5, 1, 1, 10, 1000, 1, 32767, -10, -22222]","[5, 1, 1, 10, 1000, 1, 32767, -10, -22222]","[5, 1, 1, 10, 100, 1, 32767, -50, -22222]"
Time,RearTemp,MiddleTemp,FrontTemp,UpGrate,LoGrate,RearPWM,MiddlePWM,FrontPWM,UpPWM,LoPWM
1,907,915,1108,1136,1135,1000,1000,0,1000,1000
2,908,915,1108,1136,1135,1000,1000,0,1000,1000
3,908,915,1108,1136,1140,1000,1000,0,1000,1000
4,909,918,1112,1141,1140,1000,1000,0,1000,1000
5,909,918,1112,1141,1140,1000,1000,0,1000,1000
6,911,922,1116,1146,1144,485,1000,0,1000,1000
7,911,922,1116,1146,1144,485,1000,0,1000,1000
8,913,922,1120,1151,1150,475,1000,1000,1000,1000
9,913,922,1120,1151,1150,475,1000,1000,1000,1000
10,916,924,1123,1157,1155,0,1000,420,1000,1000
11,916,924,1123,1157,1155,0,1000,420,1000,1000
12,916,927,1128,1161,1160,450,1000,0,1000,940
13,918,927,1128,1161,1160,450,1000,0,1000,940
14,918,927,1128,1161,1160,450,1000,0,1000,1000
15,920,930,1132,1167,1165,440,1000,0,1000,1000
16,920,930,1132,1167,1165,440,1000,0,1000,1000
17,922,931,1136,1171,1170,430,1000,1000,1000,1000
18,922,931,1136,1171,1170,430,1000,1000,1000,1000
19,925,934,1141,1176,1174,0,1000,0,1000,875
20,925,934,1141,1176,1174,0,1000,0,1000,875
21,928,935,1144,1182,1180,0,985,1000,995,1000
22,928,935,1144,1182,1180,0,985,1000,995,1000
23,928,935,1144,1182,1180,0,985,1000,965,835
24,930,940,1149,1187,1186,390,1000,0,965,835
25,930,940,1149,1187,1186,390,1000,0,965,835
26,932,942,1152,1192,1190,380,1000,330,1000,1000
27,932,942,1152,1192,1190,380,1000,330,1000,1000
28,934,943,1156,1197,1195,370,1000,1000,1000,900
29,934,943,1156,1197,1195,370,1000,1000,1000,900
30,936,945,1160,1203,1201,360,880,315,890,880
31,936,945,1160,1203,1201,360,880,315,890,880
32,936,945,1160,1207,1205,350,1000,305,1000,965
33,938,947,1163,1207,1205,350,1000,305,1000,965
34,938,947,1163,1207,1205,350,1000,305,945,740
35,941,950,1168,1212,1210,0,935,0,945,740
