StartTime,CookTime,PlatenTime,CookZone,RearSP,MidSP,FrontSP,RearPID,MidPID,FrontPID
Time: 2016 Jan 22 15:54:57,155,10,3000,1406,1406,1406,"[5, 1, 1, 10, 1000, 1, 32767, -10, -22222]","[5, 1, 1, 10, 1000, 1, 32767, -10, -22222]","[5, 1, 1, 10, 100, 1, 32767, -50, -22222]"
Time,RearTemp,MiddleTemp,FrontTemp,UpGrate,LoGrate,RearPWM,UpPWM,MiddlePWM,LoPWM,FrontPWM
0,1375,1356,1376,1466,1463,1000,165,280,180,0
1,1370,1352,1376,1465,1463,1000,170,1000,180,200
2,1354,1343,1376,1465,1463,1000,170,1000,180,200
3,1354,1343,1376,1465,1463,1000,170,1000,180,0
4,1340,1336,1378,1466,1463,1000,65,1000,180,0
5,1340,1336,1378,1466,1463,1000,65,1000,180,0
6,1333,1328,1376,1465,1463,1000,170,1000,180,200
7,1333,1328,1376,1465,1463,1000,170,1000,180,200
8,1330,1323,1376,1466,1463,1000,65,1000,180,200
9,1330,1323,1376,1466,1463,1000,65,1000,180,200
10,1329,1319,1378,1466,1461,1000,165,1000,190,0
11,1329,1319,1378,1466,1461,1000,165,1000,190,0
12,1329,1319,1378,1466,1461,395,165,1000,0,200
13,1329,1315,1376,1466,1463,395,165,1000,0,200
14,1329,1315,1376,1466,1463,395,165,1000,180,0
15,1329,1311,1378,1466,1463,395,165,1000,180,0
16,1329,1311,1378,1466,1463,395,165,1000,180,0
17,1330,1308,1378,1466,1463,0,165,1000,180,190
18,1330,1308,1378,1466,1463,0,165,1000,180,190
19,1332,1306,1376,1466,1463,0,165,1000,180,200
20,1332,1306,1376,1466,1463,0,165,1000,180,200
21,1332,1306,1376,1466,1463,0,165,1000,180,200
22,1333,1305,1376,1466,1463,0,165,1000,180,200
23,1333,1305,1376,1466,1463,0,165,1000,75,0
24,1334,1304,1378,1466,1464,0,165,1000,75,0
25,1334,1304,1378,1466,1464,0,165,1000,75,0
26,1335,1303,1376,1466,1463,0,165,1000,180,200
27,1335,1303,1376,1466,1463,0,165,1000,180,200
28,1337,1303,1376,1467,1464,0,60,525,75,200
29,1337,1303,1376,1467,1464,0,60,525,75,200
30,1339,1302,1376,1466,1464,0,165,1000,175,200
31,1339,1302,1376,1466,1464,0,165,1000,175,200
32,1339,1303,1376,1467,1463,345,60,0,180,200
33,1339,1303,1376,1467,1463,345,60,0,180,200
34,1339,1303,1376,1467,1463,345,60,525,75,205
35,1341,1303,1375,1467,1464,0,160,525,75,205
36,1341,1303,1375,1467,1464,0,160,525,75,205
37,1343,1304,1375,1467,1463,0,160,0,180,205
38,1343,1304,1375,1467,1463,0,160,0,180,205
39,1343,1305,1375,1466,1463,325,165,0,180,205
40,1343,1305,1375,1466,1463,325,165,0,180,205
41,1345,1306,1376,1466,1463,0,165,0,180,100
42,1345,1306,1376,1466,1463,0,165,0,180,100
43,1345,1306,1376,1466,1463,0,60,0,180,205
44,1346,1310,1375,1467,1463,0,60,0,180,205
45,1346,1310,1375,1467,1463,0,160,0,190,100
46,1346,1316,1376,1467,1461,310,160,0,190,100
47,1346,1316,1376,1467,1461,310,160,0,190,100
48,1346,1321,1375,1467,1463,310,160,0,0,205
49,1346,1321,1375,1467,1463,310,160,0,0,205
50,1349,1326,1375,1467,1463,0,160,0,180,205
51,1349,1326,1375,1467,1463,0,160,0,180,205
52,1350,1332,1375,1467,1463,0,160,0,180,205
53,1350,1332,1375,1467,1463,0,160,0,180,205
54,1350,1332,1375,1467,1463,0,160,0,180,205
55,1351,1337,1375,1467,1463,0,160,0,180,205
56,1351,1337,1375,1467,1463,0,160,0,180,205
57,1352,1341,1375,1467,1463,0,160,0,180,205
58,1352,1341,1375,1467,1463,0,160,0,180,205
59,1354,1345,1374,1468,1463,0,55,0,180,210
60,1354,1345,1374,1468,1463,0,55,0,180,210
61,1355,1350,1375,1467,1463,0,160,0,180,105
62,1355,1350,1375,1467,1463,0,160,0,180,105
63,1356,1353,1375,1467,1463,0,160,0,180,205
64,1356,1353,1375,1467,1463,0,160,0,180,205
65,1356,1353,1375,1467,1463,0,160,0,180,205
66,1357,1355,1375,1467,1463,0,160,0,180,205
67,1357,1355,1375,1467,1463,0,160,0,180,210
68,1358,1358,1374,1468,1463,0,55,0,180,210
69,1358,1358,1374,1468,1463,0,55,0,180,210
70,1359,1361,1375,1467,1464,0,160,0,75,105
71,1359,1361,1375,1467,1464,0,160,0,75,105
72,1360,1363,1375,1467,1463,0,160,0,180,205
73,1360,1363,1375,1467,1463,0,160,0,180,205
74,1360,1363,1375,1467,1464,240,160,0,75,205
75,1360,1366,1375,1467,1464,240,160,0,75,205
76,1360,1366,1375,1467,1463,0,55,0,180,205
77,1361,1367,1375,1468,1463,0,55,0,180,205
78,1361,1367,1375,1468,1463,0,55,0,180,205
79,1361,1369,1375,1467,1463,235,160,0,180,205
80,1361,1369,1375,1467,1463,235,160,0,180,205
81,1361,1370,1374,1467,1464,235,160,0,75,210
82,1361,1370,1374,1467,1464,235,160,0,75,210
83,1362,1371,1374,1467,1463,0,160,0,180,210
84,1362,1371,1374,1467,1463,0,160,0,180,210
85,1362,1372,1375,1467,1463,230,160,0,180,105
86,1362,1372,1375,1467,1463,230,160,0,180,105
87,1362,1372,1375,1467,1463,230,160,0,180,205
88,1362,1373,1375,1468,1464,230,55,0,75,205
89,1362,1373,1375,1468,1464,230,55,0,75,205
90,1362,1373,1374,1468,1464,230,155,175,175,210
91,1362,1373,1374,1468,1464,230,155,175,175,210
92,1363,1374,1375,1468,1464,0,155,0,175,105
93,1363,1374,1375,1468,1464,0,155,0,175,105
94,1363,1374,1376,1467,1463,225,160,170,180,100
95,1363,1374,1376,1467,1463,225,160,170,180,100
96,1363,1375,1375,1468,1464,225,55,0,75,205
97,1363,1375,1375,1468,1464,225,55,0,75,205
98,1363,1375,1375,1468,1464,225,55,0,75,205
99,1363,1375,1375,1468,1463,225,155,165,180,205
100,1363,1375,1375,1468,1463,225,155,165,180,205
101,1365,1375,1374,1468,1464,0,155,165,75,210
102,1365,1375,1374,1468,1464,0,155,165,75,210
103,1365,1375,1375,1468,1464,215,155,165,175,105
104,1365,1375,1375,1468,1464,215,155,165,175,105
105,1365,1374,1374,1468,1464,215,155,170,175,210
106,1365,1374,1374,1468,1464,215,155,170,175,210
107,1365,1374,1375,1469,1464,0,50,0,175,105
108,1366,1375,1375,1469,1464,0,50,0,175,105
109,1366,1375,1375,1469,1464,0,50,0,175,105
110,1366,1374,1374,1469,1464,210,150,170,175,210
111,1366,1374,1374,1469,1464,210,150,170,175,210
112,1366,1375,1374,1469,1463,210,150,0,180,210
113,1366,1375,1374,1469,1463,210,150,0,180,210
114,1367,1374,1374,1469,1464,0,150,170,75,210
115,1367,1374,1374,1469,1464,0,150,170,75,210
116,1367,1375,1374,1468,1464,205,155,0,175,210
117,1367,1375,1374,1468,1464,205,155,0,175,210
118,1367,1375,1374,1468,1464,205,155,0,175,215
119,1368,1375,1373,1469,1464,0,50,165,175,215
120,1368,1375,1373,1469,1464,0,50,165,175,215
121,1369,1375,1374,1468,1464,0,155,165,175,110
122,1369,1375,1374,1468,1464,0,155,165,175,110
123,1369,1374,1373,1469,1464,195,50,170,175,215
124,1369,1374,1373,1469,1464,195,50,170,175,215
125,1369,1374,1373,1469,1465,195,150,170,70,215
126,1369,1374,1373,1469,1465,195,150,170,70,215
127,1369,1374,1373,1469,1465,0,155,0,175,215
128,1370,1375,1373,1468,1464,0,155,0,175,215
129,1370,1375,1373,1468,1464,0,155,175,175,220
130,1370,1373,1372,1469,1464,190,50,175,175,220
131,1370,1373,1372,1469,1464,190,50,175,175,220
132,1371,1370,1372,1469,1464,0,150,190,175,220
133,1371,1370,1372,1469,1464,0,150,190,175,220
134,1371,1367,1372,1469,1464,185,150,205,175,220
135,1371,1367,1372,1469,1464,185,150,205,175,220
136,1371,1363,1371,1469,1464,185,150,1000,175,225
137,1371,1363,1371,1469,1464,185,150,1000,175,225
138,1371,1363,1371,1469,1464,185,150,1000,175,230
139,1371,1361,1370,1469,1464,185,150,1000,175,230
140,1371,1361,1370,1469,1465,0,155,1000,70,230
141,1372,1358,1370,1468,1465,0,155,1000,70,230
142,1372,1358,1370,1468,1465,0,155,1000,70,230
143,1371,1356,1369,1469,1465,185,50,1000,170,235
144,1371,1356,1369,1469,1465,185,50,1000,170,235
145,1372,1353,1369,1470,1464,0,45,1000,175,235
146,1372,1353,1369,1470,1464,0,45,1000,175,235
147,1373,1352,1370,1471,1465,0,40,1000,70,130
148,1373,1352,1370,1471,1465,0,40,1000,70,130
149,1373,1350,1369,1470,1466,180,145,1000,65,235
150,1372,1350,1369,1470,1466,180,145,1000,65,235
151,1372,1350,1369,1470,1466,180,145,1000,65,235
152,1373,1349,1369,1470,1466,0,145,1000,165,235
153,1373,1349,1369,1470,1466,0,145,1000,165,235
154,1373,1346,1369,1470,1465,175,145,1000,170,235
155,1373,1346,1369,1470,1465,175,145,1000,170,235
156,1373,1345,1369,1470,1465,175,145,1000,170,235
157,1373,1345,1369,1470,1465,175,145,1000,170,235
158,1373,1345,1368,1469,1465,175,150,315,170,240
159,1373,1345,1368,1469,1465,175,150,315,170,240
160,1372,1345,1368,1469,1464,180,150,315,175,240
161,1372,1345,1368,1469,1464,180,150,315,175,240
162,1372,1345,1368,1469,1464,180,150,315,70,240
163,1372,1346,1368,1470,1465,180,45,0,70,240
164,1372,1346,1368,1470,1465,180,45,0,70,240
