StartTime,CookTime,PlatenTime,CookZone,RearSP,MidSP,FrontSP,RearPID,MidPID,FrontPID
Time: 2016 Jan 22 08:54:01,153,10,3051,1406,1406,1406,"[5, 1, 1, 10, 1000, 1, 32767, -10, -22222]","[5, 1, 1, 10, 1000, 1, 32767, -10, -22222]","[5, 1, 1, 10, 100, 1, 32767, -50, -22222]"
Time,RearTemp,MiddleTemp,FrontTemp,UpGrate,LoGrate,RearPWM,MiddlePWM,FrontPWM,UpPWM,LoPWM
1,155,155,154,146,145,1000,1000,1000,1000,1000
2,155,155,154,148,147,1000,1000,1000,1000,1000
3,155,155,154,148,147,1000,1000,1000,1000,1000
4,155,155,154,152,151,1000,1000,1000,1000,1000
5,155,155,154,152,151,1000,1000,1000,1000,1000
6,155,155,154,157,154,1000,1000,1000,1000,1000
7,155,155,154,157,154,1000,1000,1000,1000,1000
8,155,156,155,161,159,1000,1000,1000,1000,1000
9,155,156,155,161,159,1000,1000,1000,1000,1000
10,155,156,155,167,163,1000,1000,1000,1000,1000
11,155,156,156,167,163,1000,1000,1000,1000,1000
12,155,156,156,167,163,1000,1000,1000,1000,1000
13,156,157,158,172,169,1000,1000,1000,1000,1000
14,156,157,158,172,169,1000,1000,1000,1000,1000
15,157,158,160,178,174,1000,1000,1000,1000,1000
16,157,158,160,178,174,1000,1000,1000,1000,1000
17,159,159,162,184,179,1000,1000,1000,1000,1000
18,159,159,162,184,179,1000,1000,1000,1000,1000
19,161,161,166,189,185,1000,1000,1000,1000,1000
20,161,161,166,189,185,1000,1000,1000,1000,1000
21,161,161,166,189,185,1000,1000,1000,1000,1000
22,163,163,168,195,191,1000,1000,1000,1000,1000
23,163,163,168,195,191,1000,1000,1000,1000,1000
24,166,166,172,201,196,1000,1000,1000,1000,1000
25,166,166,172,201,196,1000,1000,1000,1000,1000
26,169,169,175,207,203,1000,1000,1000,1000,1000
27,169,169,175,207,203,1000,1000,1000,1000,1000
28,172,171,179,213,208,1000,1000,1000,1000,1000
29,172,171,179,213,208,1000,1000,1000,1000,1000
30,172,174,184,219,214,1000,1000,1000,1000,1000
31,175,174,184,219,214,1000,1000,1000,1000,1000
32,175,174,184,219,214,1000,1000,1000,1000,1000
33,178,177,188,225,220,1000,1000,1000,1000,1000
34,178,177,188,225,220,1000,1000,1000,1000,1000
35,183,180,192,231,226,1000,1000,1000,1000,1000
36,183,180,192,231,226,1000,1000,1000,1000,1000
37,187,185,196,237,231,1000,1000,1000,1000,1000
38,187,185,196,237,231,1000,1000,1000,1000,1000
39,187,185,202,244,239,1000,1000,1000,1000,1000
40,191,189,202,244,239,1000,1000,1000,1000,1000
41,191,193,206,251,244,1000,1000,1000,1000,1000
42,195,193,206,251,244,1000,1000,1000,1000,1000
43,195,193,206,251,244,1000,1000,1000,1000,1000
44,201,197,211,257,251,35,1000,1000,1000,1000
45,201,197,211,257,251,35,1000,1000,1000,1000
46,205,202,216,263,256,1000,1000,1000,1000,1000
47,205,202,216,263,256,1000,1000,1000,1000,1000
48,209,206,221,270,262,1000,1000,1000,1000,1000
49,209,206,221,270,262,1000,1000,1000,1000,1000
50,209,206,221,270,269,1000,1000,1000,1000,1000
51,213,210,225,275,269,1000,1000,1000,1000,1000
52,213,210,225,275,269,1000,1000,965,1000,1000
53,218,215,230,281,274,950,1000,965,1000,1000
54,218,215,230,281,274,950,1000,965,1000,1000
55,222,219,235,288,280,1000,1000,1000,1000,1000
56,222,219,235,288,280,1000,1000,1000,1000,1000
57,227,223,240,294,286,905,1000,1000,1000,1000
58,227,223,240,294,286,905,1000,1000,1000,1000
59,227,227,244,300,292,880,1000,1000,1000,1000
60,232,227,244,300,292,880,1000,1000,1000,1000
61,232,227,244,306,297,1000,1000,0,1000,1000
62,236,233,250,306,297,1000,1000,0,1000,1000
63,236,233,250,306,297,1000,1000,1000,1000,1000
64,241,237,255,312,304,835,1000,1000,1000,1000
65,241,237,255,312,304,835,1000,1000,1000,1000
66,245,242,259,319,310,1000,1000,830,1000,1000
67,245,242,259,319,310,1000,1000,830,1000,1000
68,250,246,265,325,315,790,1000,1000,1000,1000
69,250,246,265,325,315,790,1000,1000,1000,1000
70,250,251,269,330,322,765,1000,785,1000,1000
71,255,251,269,330,322,765,1000,785,1000,1000
72,255,251,269,338,327,1000,1000,760,1000,1000
73,259,256,274,338,327,1000,1000,760,1000,1000
74,259,256,274,338,334,1000,1000,1000,1000,1000
75,263,260,279,343,334,1000,1000,1000,1000,1000
76,263,260,279,343,334,1000,1000,1000,1000,1000
77,269,266,284,350,339,0,1000,0,1000,1000
78,269,266,284,350,339,0,1000,0,1000,1000
79,273,270,289,356,345,1000,1000,1000,1000,1000
