StartTime,CookTime,PlatenTime,CookZone,RearSP,MidSP,FrontSP,RearPID,MidPID,FrontPID
Time: 2016 Jan 22 16:23:14,155,10,3000,1406,1406,1406,"[5, 1, 1, 10, 1000, 1, 32767, -10, -22222]","[5, 1, 1, 10, 1000, 1, 32767, -10, -22222]","[5, 1, 1, 10, 100, 1, 32767, -50, -22222]"
Time,RearTemp,MiddleTemp,FrontTemp,UpGrate,LoGrate,RearPWM,UpPWM,MiddlePWM,LoPWM,FrontPWM
0,1376,1383,1390,1461,1466,1000,190,1000,165,0
1,1373,1371,1388,1461,1466,1000,190,1000,165,140
2,1373,1371,1388,1461,1466,1000,190,1000,165,140
3,1366,1354,1388,1461,1466,1000,190,1000,165,140
4,1366,1354,1388,1461,1466,1000,190,1000,165,140
5,1366,1338,1388,1461,1466,1000,190,1000,165,140
6,1360,1338,1388,1461,1466,1000,190,1000,165,140
7,1360,1338,1388,1461,1466,1000,0,1000,165,140
8,1355,1326,1388,1463,1466,1000,0,1000,165,140
9,1355,1326,1388,1463,1466,1000,0,1000,165,140
10,1351,1317,1388,1463,1466,1000,180,1000,165,140
11,1351,1317,1388,1463,1466,1000,180,1000,165,140
12,1349,1310,1388,1464,1466,1000,75,1000,165,140
13,1349,1310,1388,1464,1466,1000,75,1000,165,140
14,1344,1305,1388,1463,1466,1000,180,1000,165,140
15,1344,1305,1388,1463,1466,1000,180,1000,165,140
16,1343,1302,1387,1463,1467,1000,180,1000,60,145
17,1343,1302,1387,1463,1467,1000,180,1000,60,145
18,1343,1302,1387,1463,1467,1000,180,1000,160,145
19,1341,1301,1387,1463,1467,1000,180,1000,160,145
20,1341,1301,1387,1463,1467,1000,180,1000,160,145
21,1337,1300,1387,1464,1467,1000,75,1000,160,145
22,1337,1300,1387,1464,1467,1000,75,1000,160,145
23,1335,1299,1385,1463,1467,1000,180,1000,160,155
24,1335,1299,1385,1463,1467,1000,180,1000,160,155
25,1329,1297,1386,1464,1467,1000,75,1000,160,50
26,1329,1297,1386,1464,1467,1000,75,1000,160,50
27,1329,1299,1386,1464,1467,1000,175,0,160,150
28,1323,1299,1386,1464,1467,1000,175,0,160,150
29,1323,1299,1386,1464,1467,1000,175,0,160,155
30,1319,1299,1385,1463,1467,1000,180,545,160,155
31,1319,1299,1385,1463,1467,1000,180,545,160,155
32,1313,1300,1384,1463,1467,1000,180,0,160,160
33,1313,1300,1384,1463,1467,1000,180,0,160,160
34,1309,1301,1385,1464,1466,1000,75,0,165,55
35,1309,1301,1385,1464,1466,1000,75,0,165,55
36,1305,1303,1384,1463,1466,1000,180,0,165,160
37,1305,1303,1384,1463,1466,1000,180,0,165,160
38,1305,1303,1384,1463,1466,1000,180,0,165,160
39,1303,1304,1384,1463,1466,1000,180,0,165,160
40,1303,1304,1384,1463,1466,1000,180,0,165,160
41,1302,1305,1384,1463,1466,1000,180,0,165,160
42,1302,1305,1384,1463,1466,1000,180,0,165,160
43,1301,1306,1384,1463,1466,1000,180,0,165,160
44,1301,1306,1384,1463,1466,1000,180,0,165,160
45,1300,1307,1383,1463,1466,1000,180,0,165,165
46,1300,1307,1383,1463,1466,1000,180,0,165,165
47,1300,1307,1383,1461,1466,1000,190,0,165,165
48,1297,1308,1383,1461,1466,1000,190,0,165,165
49,1297,1308,1383,1461,1465,555,190,500,170,165
50,1297,1308,1383,1461,1465,555,190,500,170,165
51,1297,1308,1383,1461,1465,555,190,500,170,170
52,1297,1309,1382,1463,1466,555,0,0,65,170
53,1297,1309,1382,1463,1466,555,0,0,65,170
54,1297,1310,1382,1463,1466,555,180,0,165,170
55,1297,1310,1382,1463,1466,555,180,0,165,170
56,1297,1311,1382,1463,1466,555,180,0,165,170
57,1297,1311,1382,1463,1466,555,180,0,165,170
58,1296,1311,1381,1463,1465,1000,180,485,170,175
59,1296,1311,1381,1463,1465,1000,180,485,170,175
60,1296,1311,1381,1463,1465,1000,180,0,65,175
61,1297,1312,1381,1463,1466,0,180,0,65,175
62,1297,1312,1381,1463,1466,0,180,0,65,180
63,1299,1311,1380,1461,1465,0,190,485,170,180
64,1299,1311,1380,1461,1465,0,190,485,170,180
65,1300,1312,1380,1463,1465,0,0,0,170,180
66,1300,1312,1380,1463,1465,0,0,0,170,180
67,1302,1312,1379,1461,1465,0,190,480,170,185
68,1302,1312,1379,1461,1465,0,190,480,170,185
69,1303,1312,1379,1461,1465,0,190,480,170,185
70,1303,1312,1379,1461,1465,0,190,480,170,185
71,1303,1312,1379,1461,1465,0,190,480,175,190
72,1305,1312,1378,1461,1464,0,190,480,175,190
73,1305,1312,1378,1461,1464,0,190,480,70,200
74,1307,1312,1376,1461,1465,0,190,480,70,200
75,1307,1312,1376,1461,1465,0,190,480,70,200
76,1310,1313,1376,1461,1464,0,190,0,175,200
77,1310,1313,1376,1461,1464,0,190,0,175,200
78,1312,1313,1376,1461,1465,0,190,475,70,200
79,1312,1313,1376,1461,1465,0,190,475,70,200
80,1312,1313,1374,1461,1464,0,190,475,175,210
81,1315,1313,1374,1461,1464,0,190,475,175,210
82,1315,1313,1374,1461,1464,0,190,0,180,210
83,1319,1316,1374,1461,1463,0,190,0,180,210
84,1319,1316,1374,1461,1463,0,190,0,180,210
85,1323,1316,1373,1463,1464,0,0,460,75,215
86,1323,1316,1373,1463,1464,0,0,460,75,215
87,1328,1317,1373,1463,1463,0,180,0,180,215
88,1328,1317,1373,1463,1463,0,180,0,180,215
89,1335,1318,1373,1464,1463,0,75,0,180,215
90,1335,1318,1373,1464,1463,0,75,0,180,215
91,1335,1318,1373,1464,1464,0,180,450,75,225
92,1341,1318,1371,1463,1464,0,180,450,75,225
93,1341,1318,1371,1463,1464,0,180,0,180,225
94,1349,1320,1371,1463,1463,0,180,0,180,225
95,1349,1320,1371,1463,1463,0,180,0,180,225
96,1355,1322,1370,1463,1463,0,180,0,180,230
97,1355,1322,1370,1463,1463,0,180,0,180,230
98,1360,1322,1370,1463,1463,0,180,430,180,230
99,1360,1322,1370,1463,1463,0,180,430,180,230
100,1366,1324,1369,1461,1461,0,190,0,190,235
101,1366,1324,1369,1461,1461,0,190,0,190,235
102,1366,1324,1369,1461,1461,0,0,0,190,235
103,1370,1325,1369,1463,1461,0,0,0,190,235
104,1370,1325,1369,1463,1461,0,75,0,190,240
105,1374,1326,1368,1464,1461,0,75,0,190,240
106,1374,1326,1368,1464,1461,0,75,0,190,240
107,1376,1327,1367,1463,1461,0,180,0,190,245
108,1376,1327,1367,1463,1461,0,180,0,190,245
109,1381,1329,1368,1463,1461,0,180,0,190,140
110,1381,1329,1368,1463,1461,0,180,0,190,140
111,1384,1329,1367,1463,1461,0,180,395,190,245
112,1384,1329,1367,1463,1461,0,180,395,190,245
113,1384,1329,1367,1463,1461,0,190,0,0,250
114,1385,1330,1366,1461,1463,0,190,0,0,250
115,1385,1330,1366,1461,1463,0,190,0,180,255
116,1388,1330,1365,1463,1463,0,0,390,180,255
117,1388,1330,1365,1463,1463,0,0,390,180,255
118,1391,1333,1365,1463,1461,0,180,0,190,255
119,1391,1333,1365,1463,1461,0,180,0,190,255
120,1392,1333,1363,1463,1463,0,180,375,0,265
121,1392,1333,1363,1463,1463,0,180,375,0,265
122,1392,1333,1363,1463,1463,0,180,0,180,265
123,1394,1334,1363,1463,1463,0,180,0,180,265
124,1394,1334,1363,1463,1463,0,180,370,180,265
125,1395,1334,1363,1463,1463,0,180,370,180,265
126,1395,1334,1363,1463,1463,0,180,370,180,265
127,1397,1335,1363,1463,1461,0,180,0,190,265
128,1397,1335,1363,1463,1461,0,180,0,190,265
129,1397,1335,1362,1463,1461,55,180,365,190,270
130,1397,1335,1362,1463,1461,55,180,365,190,270
131,1398,1335,1363,1463,1463,0,180,365,0,165
132,1398,1335,1363,1463,1463,0,180,365,0,165
133,1398,1335,1363,1463,1463,0,180,0,180,270
134,1399,1336,1362,1463,1463,0,180,0,180,270
135,1399,1336,1362,1463,1463,0,180,360,190,270
136,1400,1336,1362,1463,1461,0,180,360,190,270
137,1400,1336,1362,1463,1461,0,180,360,190,270
138,1400,1337,1362,1463,1461,40,180,0,190,270
139,1400,1337,1362,1463,1461,40,180,0,190,270
140,1401,1338,1361,1464,1461,0,75,0,190,275
141,1401,1338,1361,1464,1461,0,75,0,190,275
142,1404,1338,1362,1464,1463,0,175,350,0,170
143,1404,1338,1362,1464,1463,0,175,350,0,170
144,1404,1338,1362,1465,1464,0,70,350,75,270
145,1404,1338,1362,1465,1464,0,70,350,75,270
146,1404,1338,1362,1465,1464,0,170,0,175,270
147,1405,1339,1362,1465,1464,0,170,0,175,270
148,1405,1339,1362,1465,1464,0,170,0,175,270
149,1405,1339,1362,1465,1463,0,170,345,180,270
150,1405,1339,1362,1465,1463,0,170,345,180,270
151,1406,1340,1362,1465,1461,0,170,0,190,270
152,1406,1340,1362,1465,1461,0,170,0,190,270
153,1406,1341,1362,1465,1463,0,170,0,0,270
154,1406,1341,1362,1465,1463,0,170,0,0,270
155,1406,1341,1362,1464,1463,0,175,340,180,270
156,1405,1340,1362,1464,1463,0,175,340,180,270
157,1405,1340,1362,1464,1463,0,175,340,180,270
158,1406,1341,1362,1465,1461,0,70,0,190,270
159,1406,1341,1362,1465,1461,0,70,0,190,270
160,1407,1341,1362,1465,1461,0,170,335,190,270
161,1407,1341,1362,1465,1461,0,170,335,190,270
162,1407,1341,1362,1466,1461,0,65,335,190,270
163,1407,1341,1362,1466,1461,0,65,335,190,270
164,1407,1342,1362,1465,1461,0,170,0,190,270
