StartTime,CookTime,PlatenTime,CookZone,RearSP,MidSP,FrontSP,RearPID,MidPID,FrontPID
Time: 2016 Jan 22 13:54:22,153,10,3000,1406,1406,1406,"[5, 1, 1, 10, 1000, 1, 32767, -10, -22222]","[5, 1, 1, 10, 1000, 1, 32767, -10, -22222]","[5, 1, 1, 10, 100, 1, 32767, -50, -22222]"
Time,RearTemp,MiddleTemp,FrontTemp,UpGrate,LoGrate,RearPWM,MiddlePWM,FrontPWM,UpPWM,LoPWM
0,1380,1391,1387,1465,1464,140,170,85,175,145
1,1380,1392,1387,1465,1464,140,170,0,175,145
2,1380,1392,1387,1465,1464,140,170,0,175,145
3,1380,1392,1387,1465,1464,145,170,80,175,145
4,1379,1392,1387,1465,1464,145,170,80,175,145
5,1379,1392,1387,1465,1464,150,170,85,175,145
6,1378,1391,1387,1465,1464,150,170,85,175,145
7,1378,1391,1387,1465,1464,150,170,85,175,145
8,1379,1391,1386,1465,1463,0,170,85,180,150
9,1379,1391,1386,1465,1463,0,170,85,180,150
10,1379,1391,1386,1465,1464,145,170,85,75,150
11,1379,1391,1386,1465,1464,145,170,85,75,150
12,1379,1391,1386,1465,1464,145,170,85,175,150
13,1379,1391,1386,1465,1464,145,170,85,175,150
14,1379,1391,1387,1466,1465,0,65,0,70,45
15,1380,1392,1387,1466,1465,0,65,0,70,45
16,1380,1392,1387,1466,1465,0,65,0,70,45
17,1381,1393,1386,1466,1465,0,165,0,170,150
18,1381,1393,1386,1466,1465,0,165,0,170,150
19,1381,1392,1387,1466,1465,135,165,80,170,45
20,1381,1392,1387,1466,1465,135,165,80,170,45
21,1381,1392,1387,1467,1465,135,60,80,170,145
22,1381,1392,1387,1467,1465,135,60,80,170,145
23,1381,1393,1387,1467,1464,135,160,0,175,145
24,1381,1393,1387,1467,1464,135,160,0,175,145
25,1381,1393,1387,1467,1465,135,160,75,70,145
26,1381,1393,1387,1467,1465,135,160,75,70,145
27,1381,1393,1387,1467,1465,135,160,75,70,150
28,1381,1393,1386,1467,1464,135,160,75,175,150
29,1381,1393,1386,1467,1464,135,160,75,175,150
30,1381,1393,1386,1467,1465,135,160,75,70,150
31,1381,1393,1386,1467,1465,135,160,75,70,150
32,1382,1394,1386,1467,1465,0,160,0,170,150
33,1382,1394,1386,1467,1465,0,160,0,170,150
34,1383,1394,1386,1467,1465,0,160,70,170,150
35,1383,1394,1386,1467,1465,0,160,70,170,150
36,1383,1394,1386,1467,1465,0,160,75,170,150
37,1382,1393,1386,1467,1465,130,160,75,170,150
38,1382,1393,1386,1467,1465,130,160,75,170,150
39,1383,1394,1387,1469,1466,0,0,0,65,45
40,1383,1394,1387,1469,1466,0,0,0,65,45
41,1384,1395,1387,1468,1466,0,155,0,165,145
42,1384,1395,1387,1468,1466,0,155,0,165,145
43,1384,1395,1387,1469,1466,120,50,65,165,145
44,1384,1395,1387,1469,1466,120,50,65,165,145
45,1384,1395,1387,1469,1467,120,150,65,60,150
46,1384,1395,1386,1469,1467,120,150,65,60,150
47,1384,1395,1386,1469,1467,120,150,65,160,150
48,1384,1395,1386,1469,1467,120,150,65,160,150
49,1384,1395,1386,1469,1467,120,150,65,165,45
50,1384,1395,1387,1469,1466,120,150,65,165,45
51,1384,1395,1387,1469,1466,120,150,65,165,45
52,1384,1395,1387,1468,1466,120,155,65,165,145
53,1384,1395,1387,1468,1466,120,155,65,165,145
54,1385,1395,1386,1469,1466,0,50,65,165,150
55,1385,1395,1386,1469,1466,0,50,65,165,150
56,1385,1395,1386,1469,1466,120,150,65,165,150
57,1384,1395,1386,1469,1466,120,150,65,165,150
58,1384,1395,1386,1469,1466,120,150,65,165,45
59,1385,1395,1387,1469,1466,0,150,65,165,45
60,1385,1395,1387,1469,1466,0,150,65,165,145
61,1384,1396,1387,1469,1467,120,150,0,60,145
62,1384,1396,1387,1469,1467,120,150,0,60,145
63,1384,1396,1387,1469,1467,120,150,60,160,145
64,1384,1396,1387,1469,1467,120,150,60,160,145
65,1384,1396,1386,1470,1467,120,45,60,160,150
66,1384,1396,1386,1470,1467,120,45,60,160,150
67,1384,1396,1386,1470,1467,0,150,65,160,150
68,1385,1395,1386,1469,1467,0,150,65,160,150
69,1385,1395,1386,1469,1467,0,150,65,160,45
70,1384,1395,1387,1469,1467,120,150,65,160,45
71,1384,1395,1387,1469,1467,120,150,65,160,45
72,1385,1396,1387,1470,1467,0,45,0,160,145
73,1385,1396,1387,1470,1467,0,45,0,160,145
74,1385,1396,1387,1470,1467,115,145,60,160,145
75,1385,1396,1387,1470,1467,115,145,60,160,145
76,1385,1396,1386,1470,1467,115,145,60,160,150
77,1385,1396,1386,1470,1467,115,145,60,160,150
78,1385,1396,1386,1470,1467,115,150,60,160,45
79,1385,1396,1387,1469,1467,115,150,60,160,45
80,1385,1396,1387,1469,1467,115,150,60,55,150
81,1385,1396,1386,1469,1468,115,150,60,55,150
82,1385,1396,1386,1469,1468,115,150,60,55,150
83,1385,1396,1386,1469,1468,115,150,60,155,150
84,1385,1396,1386,1469,1468,115,150,60,155,150
85,1385,1397,1386,1469,1468,115,150,0,155,150
86,1385,1397,1386,1469,1468,115,150,0,155,150
87,1385,1397,1386,1471,1469,115,0,55,50,45
88,1385,1397,1387,1471,1469,115,0,55,50,45
89,1385,1397,1387,1471,1469,115,140,0,155,145
90,1386,1398,1387,1471,1468,0,140,0,155,145
91,1386,1398,1387,1471,1468,0,140,0,50,150
92,1386,1397,1386,1471,1469,110,140,55,50,150
93,1386,1397,1386,1471,1469,110,140,55,50,150
94,1386,1397,1387,1471,1468,110,140,55,155,45
95,1386,1397,1387,1471,1468,110,140,55,155,45
96,1386,1398,1387,1471,1468,110,140,0,155,145
97,1386,1398,1387,1471,1468,110,140,0,155,145
98,1386,1398,1387,1471,1469,110,140,50,50,145
99,1386,1398,1387,1471,1469,110,140,50,50,145
100,1386,1398,1387,1471,1469,110,140,50,155,145
101,1386,1398,1387,1471,1468,110,140,50,155,145
102,1386,1398,1387,1471,1468,110,140,50,50,145
103,1386,1398,1387,1471,1469,110,140,50,50,145
104,1386,1398,1387,1471,1469,110,140,50,50,145
105,1386,1398,1387,1470,1468,110,145,50,155,145
106,1386,1398,1387,1470,1468,110,145,50,155,145
107,1387,1398,1386,1471,1468,0,40,50,155,150
108,1387,1398,1386,1471,1468,0,40,50,155,150
109,1387,1398,1386,1471,1468,110,145,50,155,150
110,1386,1398,1386,1470,1468,110,145,50,155,150
