StartTime,CookTime,PlatenTime,CookZone,RearSP,MidSP,FrontSP,RearPID,MidPID,FrontPID
Time: 2016 Jan 22 14:31:34,155,10,3000,1406,1406,1406,"[5, 1, 1, 10, 1000, 1, 32767, -10, -22222]","[5, 1, 1, 10, 1000, 1, 32767, -10, -22222]","[5, 1, 1, 10, 100, 1, 32767, -50, -22222]"
Time,RearTemp,MiddleTemp,FrontTemp,UpGrate,LoGrate,RearPWM,MiddlePWM,FrontPWM,UpPWM,LoPWM
0,1379,1356,1363,1467,1463,145,60,260,180,165
1,1379,1356,1363,1466,1464,160,165,320,75,265
2,1376,1344,1363,1466,1464,160,165,320,75,265
3,1376,1344,1363,1466,1464,160,165,320,75,55
4,1374,1330,1365,1466,1464,170,165,1000,175,55
5,1374,1330,1365,1466,1464,170,165,1000,175,55
6,1372,1319,1365,1466,1464,180,165,1000,175,255
7,1372,1319,1365,1466,1464,180,165,1000,175,255
8,1369,1310,1366,1466,1463,1000,165,1000,180,150
9,1369,1310,1366,1466,1463,1000,165,1000,180,150
10,1367,1305,1366,1466,1464,1000,165,1000,75,250
11,1367,1305,1366,1466,1464,1000,165,1000,75,250
12,1367,1305,1366,1466,1464,1000,165,1000,175,250
13,1366,1301,1366,1466,1464,1000,165,1000,175,250
14,1366,1301,1366,1466,1464,1000,165,1000,175,250
15,1365,1297,1366,1467,1464,1000,60,1000,175,250
16,1365,1297,1366,1467,1464,1000,60,1000,175,250
17,1362,1296,1367,1466,1464,1000,165,1000,175,145
18,1362,1296,1367,1466,1464,1000,165,1000,175,145
19,1361,1295,1368,1467,1464,1000,60,1000,175,140
20,1361,1295,1368,1467,1464,1000,60,1000,175,140
21,1360,1296,1368,1467,1464,1000,160,0,175,240
22,1360,1296,1368,1467,1464,1000,160,0,175,240
23,1360,1296,1368,1467,1465,1000,160,0,70,240
24,1359,1297,1368,1467,1465,1000,160,0,70,240
25,1359,1297,1368,1467,1465,1000,160,0,70,240
26,1359,1300,1368,1467,1464,245,160,0,175,240
27,1359,1300,1368,1467,1464,245,160,0,175,240
28,1358,1302,1368,1467,1464,1000,160,0,175,240
29,1358,1302,1368,1467,1464,1000,160,0,175,240
30,1358,1305,1368,1467,1464,250,160,0,175,240
31,1358,1305,1368,1467,1464,250,160,0,175,240
32,1358,1305,1368,1467,1464,0,160,0,175,135
33,1359,1307,1369,1467,1464,0,160,0,175,135
34,1359,1307,1369,1467,1464,0,160,0,175,240
35,1359,1309,1368,1467,1464,245,160,0,175,240
36,1359,1309,1368,1467,1464,245,160,0,175,240
37,1361,1312,1369,1467,1464,0,160,0,175,135
38,1361,1312,1369,1467,1464,0,160,0,175,135
39,1363,1316,1369,1467,1464,0,160,0,175,235
40,1363,1316,1369,1467,1464,0,160,0,175,235
41,1363,1318,1369,1468,1464,0,55,0,175,235
42,1365,1318,1369,1468,1464,0,55,0,175,235
43,1365,1320,1369,1467,1464,0,160,0,175,235
44,1366,1320,1369,1467,1464,0,160,0,175,235
45,1366,1320,1369,1467,1464,0,160,0,175,235
46,1367,1323,1369,1467,1464,0,160,0,175,235
47,1367,1323,1369,1467,1464,0,160,0,175,235
48,1370,1325,1369,1467,1464,0,160,0,175,235
49,1370,1325,1369,1467,1464,0,160,0,175,235
50,1371,1325,1370,1468,1464,0,55,415,175,130
51,1371,1325,1370,1468,1464,0,55,415,175,130
52,1371,1325,1370,1467,1464,0,160,0,175,230
53,1372,1327,1370,1467,1464,0,160,0,175,230
54,1372,1327,1370,1467,1464,180,160,0,70,230
55,1372,1328,1370,1467,1465,180,160,0,70,230
56,1372,1328,1370,1467,1465,180,160,0,175,230
57,1374,1329,1370,1467,1464,0,160,0,175,230
58,1374,1329,1370,1467,1464,0,160,0,175,230
59,1375,1330,1370,1467,1464,0,160,0,175,230
60,1375,1330,1370,1467,1464,0,160,0,175,230
61,1376,1332,1370,1467,1464,0,160,0,175,230
62,1376,1332,1370,1467,1464,0,160,0,175,230
63,1376,1332,1370,1467,1464,160,160,0,175,230
64,1376,1333,1370,1467,1464,160,160,0,175,230
65,1376,1333,1370,1467,1464,0,160,0,175,125
66,1378,1334,1371,1467,1464,0,160,0,175,125
67,1378,1334,1371,1467,1464,0,160,0,175,225
68,1378,1335,1371,1468,1464,150,55,0,175,225
69,1378,1335,1371,1468,1464,150,55,0,175,225
70,1378,1336,1371,1467,1464,150,160,0,175,225
71,1378,1336,1371,1467,1464,150,160,0,175,225
72,1379,1335,1371,1467,1464,0,160,365,175,225
73,1379,1335,1371,1467,1464,0,160,365,175,225
74,1379,1336,1370,1467,1464,150,160,0,175,230
75,1378,1336,1370,1467,1464,150,160,0,175,230
76,1378,1336,1370,1467,1464,150,160,0,175,230
77,1379,1335,1370,1468,1465,0,55,365,70,230
