StartTime,CookTime,PlatenTime,CookZone,RearSP,MidSP,FrontSP,RearPID,MidPID,FrontPID
Time: 2016 Jan 22 13:36:26,153,10,3000,1406,1406,1406,"[5, 1, 1, 10, 1000, 1, 32767, -10, -22222]","[5, 1, 1, 10, 1000, 1, 32767, -10, -22222]","[5, 1, 1, 10, 100, 1, 32767, -50, -22222]"
Time,RearTemp,MiddleTemp,FrontTemp,UpGrate,LoGrate,RearPWM,MiddlePWM,FrontPWM,UpPWM,LoPWM
1,977,991,1211,1295,1280,0,720,1000,695,725
2,977,991,1211,1295,1284,1000,495,75,675,605
3,978,993,1215,1300,1284,1000,495,75,675,605
4,978,993,1215,1300,1284,1000,495,75,675,605
5,980,995,1218,1303,1286,140,680,65,865,690
6,980,995,1218,1303,1286,140,680,65,865,690
7,981,997,1220,1306,1290,1000,665,55,645,780
8,981,997,1220,1306,1290,1000,665,55,645,780
9,983,999,1223,1308,1293,125,755,45,730,665
10,983,999,1223,1308,1293,125,755,45,730,665
11,983,999,1223,1308,1293,1000,640,35,715,755
12,984,1001,1225,1311,1296,1000,640,35,715,755
13,984,1001,1225,1311,1296,0,520,1000,595,745
14,987,1002,1227,1315,1300,0,520,1000,595,745
15,987,1002,1227,1315,1300,0,520,1000,595,745
16,987,1005,1230,1318,1302,1000,605,0,785,630
17,987,1005,1230,1318,1302,1000,605,0,785,630
18,992,1007,1233,1322,1306,0,485,0,565,615
19,992,1007,1233,1322,1306,0,485,0,565,615
20,992,1009,1235,1324,1309,1000,675,0,650,705
21,993,1009,1235,1324,1309,1000,675,0,650,705
22,993,1009,1235,1324,1309,1000,675,0,635,590
23,994,1011,1238,1326,1312,1000,665,0,635,590
24,994,1011,1238,1326,1312,1000,665,0,620,680
25,997,1013,1240,1328,1315,0,655,0,620,680
26,997,1013,1240,1328,1315,0,655,0,620,680
27,998,1016,1243,1331,1318,1000,540,0,605,565
28,998,1016,1243,1331,1318,1000,540,0,605,565
29,1000,1018,1245,1335,1320,40,420,0,695,655
30,1000,1018,1245,1335,1320,40,420,0,695,655
31,1002,1019,1247,1337,1323,30,610,945,580,645
32,1002,1019,1247,1337,1323,30,610,945,580,645
33,1002,1019,1247,1337,1323,30,495,0,670,635
34,1005,1021,1249,1340,1325,0,495,0,670,635
35,1005,1021,1249,1340,1325,0,495,0,450,625
36,1007,1022,1251,1342,1329,0,585,930,450,625
37,1007,1022,1251,1342,1329,0,585,930,450,625
38,1009,1023,1253,1344,1331,0,575,925,640,615
39,1009,1023,1253,1344,1331,0,575,925,640,615
40,1011,1025,1254,1346,1334,0,565,0,525,710
41,1011,1025,1254,1346,1334,0,565,0,525,710
42,1011,1026,1256,1348,1336,0,555,910,615,600
