StartTime,CookTime,PlatenTime,CookZone,RearSP,MidSP,FrontSP,RearPID,MidPID,FrontPID
Time: 2016 Jan 22 15:50:39,155,10,3000,1406,1406,1406,"[5, 1, 1, 10, 1000, 1, 32767, -10, -22222]","[5, 1, 1, 10, 1000, 1, 32767, -10, -22222]","[5, 1, 1, 10, 100, 1, 32767, -50, -22222]"
Time,RearTemp,MiddleTemp,FrontTemp,UpGrate,LoGrate,RearPWM,UpPWM,MiddlePWM,LoPWM,FrontPWM
0,1376,1360,1376,1465,1464,160,170,0,175,100
1,1374,1349,1376,1465,1463,170,170,1000,180,200
2,1374,1349,1376,1465,1463,170,170,1000,180,200
3,1374,1349,1376,1465,1463,185,170,1000,180,200
4,1371,1332,1376,1465,1463,185,170,1000,180,200
5,1371,1332,1376,1466,1464,1000,65,1000,75,200
6,1368,1317,1376,1466,1464,1000,65,1000,75,200
7,1368,1317,1376,1466,1464,1000,65,1000,75,200
8,1366,1305,1376,1465,1463,1000,170,1000,180,200
9,1366,1305,1376,1465,1463,1000,170,1000,180,200
10,1363,1297,1376,1466,1463,1000,65,1000,180,200
11,1363,1297,1376,1466,1463,1000,65,1000,180,200
12,1360,1291,1375,1466,1461,1000,165,1000,190,205
13,1360,1291,1375,1466,1461,1000,165,1000,190,205
14,1360,1291,1376,1465,1464,1000,170,1000,0,100
15,1359,1288,1376,1465,1464,1000,170,1000,0,100
16,1359,1288,1376,1465,1463,1000,65,1000,180,200
17,1358,1287,1376,1466,1463,1000,65,1000,180,200
18,1358,1287,1376,1466,1463,1000,65,1000,180,200
19,1356,1285,1376,1466,1463,1000,165,1000,180,200
20,1356,1285,1376,1466,1463,1000,165,1000,180,200
21,1356,1284,1375,1466,1463,260,165,1000,180,205
22,1356,1284,1375,1466,1463,260,165,1000,180,205
23,1356,1283,1376,1465,1461,260,170,1000,190,100
24,1356,1283,1376,1465,1461,260,170,1000,190,100
25,1356,1283,1376,1465,1463,1000,65,625,0,200
26,1355,1283,1376,1466,1463,1000,65,625,0,200
27,1355,1283,1376,1466,1463,1000,165,0,180,200
28,1356,1284,1376,1466,1463,0,165,0,180,200
29,1356,1284,1376,1466,1463,0,165,0,190,200
30,1356,1284,1376,1466,1461,260,165,620,190,200
31,1356,1284,1376,1466,1461,260,165,620,190,200
32,1357,1286,1378,1465,1463,0,170,0,0,0
33,1357,1286,1378,1465,1463,0,170,0,0,0
34,1358,1287,1376,1467,1463,0,0,0,180,200
35,1358,1287,1376,1467,1463,0,0,0,180,200
36,1358,1287,1376,1467,1461,0,165,0,190,200
37,1359,1289,1376,1466,1461,0,165,0,190,200
38,1359,1289,1376,1466,1461,0,165,0,190,200
39,1361,1291,1376,1466,1461,0,165,0,190,200
40,1361,1291,1376,1466,1461,0,165,0,190,200
41,1363,1292,1376,1466,1461,0,165,0,190,200
42,1363,1292,1376,1466,1461,0,165,0,190,200
43,1363,1294,1375,1465,1461,225,170,0,190,205
44,1363,1294,1375,1465,1461,225,170,0,190,205
45,1363,1294,1376,1466,1461,0,65,0,190,100
46,1366,1296,1376,1466,1461,0,65,0,190,100
47,1366,1296,1376,1466,1461,0,165,0,190,200
48,1367,1299,1376,1466,1461,0,165,0,190,200
49,1367,1299,1376,1466,1461,0,165,0,190,200
50,1368,1300,1375,1466,1461,0,165,0,190,205
51,1368,1300,1375,1466,1461,0,165,0,190,205
52,1369,1301,1375,1465,1461,0,170,0,190,205
53,1369,1301,1375,1465,1461,0,170,0,190,205
54,1369,1303,1374,1466,1463,195,65,0,0,210
55,1369,1303,1374,1466,1463,195,65,0,0,210
56,1371,1304,1374,1465,1463,0,170,0,180,210
57,1371,1304,1374,1465,1463,0,170,0,180,210
58,1371,1306,1374,1466,1463,185,65,0,180,210
59,1371,1306,1374,1466,1463,185,65,0,180,210
60,1371,1306,1374,1466,1463,185,65,0,75,210
61,1371,1307,1374,1466,1464,185,165,0,75,210
62,1371,1307,1374,1466,1464,185,165,0,75,210
63,1372,1308,1374,1466,1464,0,165,0,175,210
64,1372,1308,1374,1466,1464,0,165,0,175,210
65,1372,1309,1373,1466,1464,180,165,0,175,215
66,1372,1309,1373,1466,1464,180,165,0,175,215
67,1372,1310,1373,1465,1463,180,170,0,180,215
68,1372,1310,1373,1465,1463,180,170,0,180,215
