StartTime,CookTime,PlatenTime,CookZone,RearSP,MidSP,FrontSP,RearPID,MidPID,FrontPID
Time: 2016 Jan 22 14:13:29,153,10,3000,1406,1406,1406,"[5, 1, 1, 10, 1000, 1, 32767, -10, -22222]","[5, 1, 1, 10, 1000, 1, 32767, -10, -22222]","[5, 1, 1, 10, 100, 1, 32767, -50, -22222]"
Time,RearTemp,MiddleTemp,FrontTemp,UpGrate,LoGrate,RearPWM,MiddlePWM,FrontPWM,UpPWM,LoPWM
0,1382,1358,1355,1464,1463,130,75,250,280,205
1,1375,1349,1355,1464,1464,165,175,1000,75,305
2,1375,1349,1355,1464,1464,165,175,1000,75,305
3,1369,1341,1356,1464,1463,1000,175,1000,280,200
4,1369,1341,1356,1464,1463,1000,175,1000,280,200
5,1366,1335,1355,1464,1463,1000,175,1000,180,305
6,1366,1335,1355,1464,1463,1000,175,1000,180,305
7,1366,1335,1355,1463,1463,1000,180,1000,180,200
8,1362,1330,1356,1463,1463,1000,180,1000,180,200
9,1362,1330,1356,1463,1463,1000,180,1000,390,195
10,1361,1325,1357,1463,1461,1000,180,1000,390,195
11,1361,1325,1357,1463,1461,1000,75,1000,0,300
12,1359,1322,1356,1464,1464,1000,75,1000,0,300
13,1359,1322,1356,1464,1464,1000,75,1000,0,300
14,1358,1319,1356,1463,1464,1000,180,1000,175,300
15,1358,1319,1356,1463,1464,1000,180,1000,175,300
16,1358,1317,1357,1465,1464,250,0,1000,175,195
17,1358,1317,1357,1465,1464,250,0,1000,175,195
18,1358,1315,1355,1464,1464,1000,175,1000,175,305
19,1357,1315,1355,1464,1464,1000,175,1000,175,305
20,1357,1315,1355,1464,1464,255,175,1000,175,200
21,1357,1313,1356,1464,1464,255,175,1000,175,200
22,1357,1313,1356,1464,1464,255,175,1000,175,200
23,1357,1313,1356,1464,1465,255,175,475,70,300
24,1357,1313,1356,1464,1465,255,175,475,70,300
25,1358,1315,1356,1464,1464,0,175,0,275,300
26,1358,1315,1356,1464,1464,0,175,0,275,300
27,1359,1316,1355,1463,1465,0,180,0,70,305
28,1359,1316,1355,1463,1465,0,180,0,70,305
29,1360,1316,1355,1464,1464,0,75,460,275,305
30,1360,1316,1355,1464,1464,0,75,460,275,305
31,1360,1316,1355,1464,1464,0,75,460,70,305
32,1361,1319,1355,1464,1465,0,175,0,70,305
33,1361,1319,1355,1464,1465,0,175,0,70,200
34,1362,1321,1356,1463,1464,0,180,0,275,200
35,1362,1321,1356,1463,1464,0,180,0,275,200
36,1365,1322,1354,1464,1464,0,75,0,175,310
37,1365,1322,1354,1464,1464,0,75,0,175,310
38,1366,1324,1354,1464,1465,0,175,0,70,310
39,1366,1324,1354,1464,1465,0,175,0,70,310
40,1366,1324,1354,1464,1465,0,180,0,170,310
41,1368,1326,1354,1463,1465,0,180,0,170,310
42,1368,1326,1354,1463,1465,0,180,0,170,310
43,1370,1328,1353,1464,1465,0,75,0,170,315
44,1370,1328,1353,1464,1465,0,75,0,170,315
45,1370,1329,1353,1464,1464,190,175,0,275,315
46,1370,1329,1353,1464,1464,190,175,0,275,315
47,1371,1333,1353,1463,1465,0,180,0,70,315
48,1371,1333,1353,1463,1465,0,180,0,70,315
49,1373,1335,1355,1465,1466,0,0,0,65,105
50,1373,1335,1355,1465,1466,0,0,0,65,105
51,1373,1335,1355,1465,1466,0,175,0,165,310
52,1374,1336,1354,1464,1466,0,175,0,165,310
53,1374,1336,1354,1464,1466,0,175,0,60,310
54,1375,1337,1354,1465,1467,0,70,0,60,310
55,1375,1337,1354,1465,1467,0,70,0,60,310
56,1375,1338,1355,1464,1466,165,175,0,165,205
57,1375,1338,1355,1464,1466,165,175,0,165,205
58,1376,1339,1355,1465,1466,0,70,0,165,305
59,1376,1339,1355,1465,1466,0,70,0,165,305
60,1376,1339,1354,1464,1466,160,175,345,165,310
61,1376,1339,1354,1464,1466,160,175,345,165,310
62,1376,1339,1354,1464,1466,0,175,0,165,205
63,1378,1341,1355,1464,1466,0,175,0,165,205
64,1378,1341,1355,1464,1466,0,175,0,165,205
65,1376,1341,1355,1464,1466,160,175,335,165,305
66,1376,1341,1355,1464,1466,160,175,335,165,305
67,1376,1342,1355,1465,1466,160,70,0,165,305
68,1376,1342,1355,1465,1466,160,70,0,165,305
69,1378,1343,1355,1465,1466,0,170,0,165,305
70,1378,1343,1355,1465,1466,0,170,0,165,305
71,1378,1343,1355,1464,1466,160,175,0,165,305
72,1376,1344,1355,1464,1466,160,175,0,165,305
73,1376,1344,1355,1464,1466,160,175,320,165,200
74,1376,1344,1356,1464,1466,160,175,320,165,200
75,1376,1344,1356,1464,1466,160,175,320,165,200
76,1376,1345,1356,1465,1466,160,70,0,165,300
77,1376,1345,1356,1465,1466,160,70,0,165,300
78,1376,1345,1356,1463,1466,160,180,315,165,300
79,1376,1345,1356,1463,1466,160,180,315,165,300
80,1376,1345,1356,1464,1466,160,75,315,165,300
81,1376,1345,1356,1464,1466,160,75,315,165,300
82,1376,1346,1357,1465,1466,160,70,0,165,195
83,1376,1346,1357,1465,1466,160,70,0,165,195
84,1376,1346,1357,1465,1466,160,70,0,165,295
85,1376,1347,1357,1465,1466,160,170,0,165,295
86,1376,1347,1357,1465,1466,160,170,0,165,295
87,1376,1347,1357,1464,1466,160,175,305,165,295
88,1376,1347,1357,1464,1466,160,175,305,165,295
89,1376,1347,1357,1464,1466,160,175,305,165,295
90,1376,1347,1357,1464,1466,160,175,305,165,295
91,1376,1349,1358,1464,1466,160,175,0,165,190
92,1376,1349,1358,1464,1466,160,175,0,165,190
93,1376,1349,1358,1465,1466,165,70,295,165,290
94,1375,1349,1358,1465,1466,165,70,295,165,290
95,1375,1349,1358,1465,1466,165,70,295,165,290
96,1376,1349,1358,1464,1466,0,175,295,165,290
97,1376,1349,1358,1464,1466,0,175,295,165,290
98,1376,1350,1359,1464,1467,160,175,0,60,185
99,1376,1350,1359,1464,1467,160,175,0,60,185
100,1376,1350,1358,1465,1466,160,70,290,165,290
101,1376,1350,1358,1465,1466,160,70,290,165,290
102,1376,1351,1359,1464,1467,160,175,0,60,185
