StartTime,CookTime,PlatenTime,CookZone,RearSP,MidSP,FrontSP,RearPID,MidPID,FrontPID
Time: 2016 Jan 22 15:37:21,155,10,3000,1406,1406,1406,"[5, 1, 1, 10, 1000, 1, 32767, -10, -22222]","[5, 1, 1, 10, 1000, 1, 32767, -10, -22222]","[5, 1, 1, 10, 100, 1, 32767, -50, -22222]"
Time,RearTemp,MiddleTemp,FrontTemp,UpGrate,LoGrate,RearPWM,UpPWM,MiddlePWM,LoPWM,FrontPWM
0,1382,1360,1379,1467,1465,130,160,240,170,185
1,1382,1360,1379,1467,1465,175,55,310,175,185
2,1373,1346,1379,1468,1464,175,55,310,175,185
3,1373,1346,1379,1468,1464,175,55,310,175,185
4,1363,1337,1379,1468,1464,1000,155,1000,175,185
5,1363,1337,1379,1468,1464,1000,155,1000,175,185
6,1359,1329,1379,1468,1464,1000,155,1000,175,185
7,1359,1329,1379,1468,1464,1000,155,1000,175,185
8,1359,1325,1379,1468,1465,1000,155,1000,70,185
9,1358,1325,1379,1468,1465,1000,155,1000,70,185
10,1358,1325,1379,1468,1464,1000,155,1000,175,185
11,1357,1321,1379,1468,1464,1000,155,1000,175,185
12,1357,1321,1379,1468,1464,1000,155,1000,70,80
13,1356,1317,1380,1469,1465,1000,50,1000,70,80
14,1356,1317,1380,1469,1465,1000,50,1000,70,80
15,1356,1316,1379,1468,1465,260,155,1000,170,185
16,1356,1316,1379,1468,1465,260,155,1000,170,185
17,1356,1313,1380,1469,1466,260,50,1000,65,80
18,1356,1313,1380,1469,1466,260,50,1000,65,80
19,1356,1313,1380,1469,1465,260,150,1000,170,180
20,1356,1312,1380,1469,1465,260,150,1000,170,180
21,1356,1312,1380,1469,1465,1000,150,1000,170,180
22,1355,1310,1380,1469,1465,1000,150,1000,170,180
23,1355,1310,1380,1469,1465,1000,150,1000,170,180
24,1356,1309,1380,1468,1465,0,155,1000,170,180
25,1356,1309,1380,1468,1465,0,155,1000,170,180
26,1357,1307,1380,1468,1465,0,155,1000,170,180
27,1357,1307,1380,1468,1465,0,155,1000,170,180
28,1358,1305,1379,1468,1465,0,155,1000,170,185
29,1358,1305,1379,1468,1465,0,155,1000,170,185
30,1358,1305,1380,1469,1464,0,50,515,175,80
31,1359,1305,1380,1469,1464,0,50,515,175,80
32,1359,1305,1380,1469,1465,0,155,515,70,185
33,1360,1305,1379,1468,1465,0,155,515,70,185
34,1360,1305,1379,1468,1465,0,155,515,70,185
35,1361,1306,1379,1469,1465,0,50,0,170,185
36,1361,1306,1379,1469,1465,0,50,0,170,185
37,1362,1307,1380,1469,1464,0,150,0,175,80
38,1362,1307,1380,1469,1464,0,150,0,175,80
39,1363,1308,1379,1468,1465,0,155,0,70,185
40,1363,1308,1379,1468,1465,0,155,0,70,185
41,1363,1310,1379,1468,1464,0,155,0,175,185
42,1366,1310,1379,1468,1464,0,155,0,175,185
43,1366,1310,1379,1468,1464,0,155,0,175,185
44,1367,1312,1379,1468,1464,0,155,0,175,185
45,1367,1312,1379,1468,1464,0,155,0,175,185
46,1368,1315,1378,1468,1464,0,155,0,175,190
47,1368,1315,1378,1468,1464,0,155,0,175,190
48,1369,1317,1378,1468,1464,0,155,0,175,190
49,1369,1317,1378,1468,1464,0,155,0,175,190
50,1369,1318,1378,1468,1465,195,155,0,70,190
51,1369,1318,1378,1468,1465,195,155,0,70,190
52,1369,1318,1378,1468,1465,0,155,0,170,190
53,1370,1320,1378,1468,1465,0,155,0,170,190
54,1370,1320,1378,1468,1465,0,155,0,175,190
55,1370,1322,1378,1469,1464,190,50,0,175,190
56,1370,1322,1378,1469,1464,190,50,0,175,190
57,1371,1322,1376,1469,1464,0,150,430,175,200
58,1371,1322,1376,1469,1464,0,150,430,175,200
59,1371,1324,1376,1469,1464,185,150,0,175,200
60,1371,1324,1376,1469,1464,185,150,0,175,200
61,1371,1324,1376,1469,1464,190,150,420,175,200
62,1370,1324,1376,1469,1464,190,150,420,175,200
63,1370,1324,1376,1469,1465,190,155,0,70,200
64,1370,1325,1376,1468,1465,190,155,0,70,200
65,1370,1325,1376,1468,1465,190,155,0,70,200
66,1370,1326,1376,1469,1465,190,50,0,170,200
67,1370,1326,1376,1469,1465,190,50,0,170,200
68,1371,1326,1376,1468,1464,0,155,410,175,200
69,1371,1326,1376,1468,1464,0,155,410,175,200
70,1370,1327,1376,1469,1464,190,50,0,175,200
71,1370,1327,1376,1469,1464,190,50,0,175,200
72,1370,1327,1376,1469,1464,190,150,405,175,200
73,1370,1327,1376,1469,1464,190,150,405,175,200
74,1370,1327,1376,1469,1465,0,150,0,70,0
75,1371,1328,1378,1469,1465,0,150,0,70,0
76,1371,1328,1378,1469,1465,0,150,0,70,0
77,1371,1329,1378,1470,1465,185,45,0,170,190
78,1371,1329,1378,1470,1465,185,45,0,170,190
79,1370,1328,1378,1469,1466,190,150,400,65,190
80,1370,1328,1378,1469,1466,190,150,400,65,190
81,1371,1329,1379,1469,1465,0,150,0,170,85
82,1371,1329,1379,1469,1465,0,150,0,170,85
83,1371,1329,1379,1469,1465,190,150,395,170,185
84,1370,1329,1379,1469,1465,190,150,395,170,185
85,1370,1329,1379,1469,1466,0,150,395,65,185
86,1371,1329,1379,1469,1466,0,150,395,65,185
87,1371,1329,1379,1469,1466,0,150,395,65,185
88,1371,1329,1378,1469,1465,185,150,395,170,190
89,1371,1329,1378,1469,1465,185,150,395,170,190
90,1371,1330,1379,1470,1465,185,45,0,170,85
91,1371,1330,1379,1470,1465,185,45,0,170,85
92,1371,1332,1378,1469,1466,185,150,0,65,190
93,1371,1332,1378,1469,1466,185,150,0,65,190
94,1371,1330,1379,1470,1465,185,45,390,170,85
95,1371,1330,1379,1470,1465,185,45,390,170,85
96,1371,1330,1379,1470,1465,185,45,390,170,185
97,1371,1330,1379,1470,1465,185,145,390,170,185
98,1371,1330,1379,1470,1465,185,145,390,170,185
99,1371,1332,1379,1470,1465,185,145,0,170,185
100,1371,1332,1379,1470,1465,185,145,0,170,185
101,1370,1333,1379,1470,1465,190,145,0,170,185
102,1370,1333,1379,1470,1465,190,145,0,170,185
103,1371,1333,1378,1469,1465,0,150,375,170,190
104,1371,1333,1378,1469,1465,0,150,375,170,190
105,1371,1333,1378,1469,1465,190,150,0,170,190
106,1370,1334,1378,1469,1465,190,150,0,170,190
107,1370,1334,1378,1469,1465,190,150,0,170,190
108,1370,1335,1378,1469,1465,190,150,0,170,190
109,1370,1335,1378,1469,1465,190,150,0,170,190
110,1368,1335,1378,1469,1465,200,150,365,170,190
111,1368,1335,1378,1469,1465,200,150,365,170,190
112,1367,1336,1378,1470,1465,205,45,0,170,190
113,1367,1336,1378,1470,1465,205,45,0,170,190
114,1368,1338,1376,1470,1466,0,145,0,65,200
115,1368,1338,1376,1470,1466,0,145,0,65,200
116,1368,1338,1376,1470,1466,0,145,0,170,200
117,1367,1339,1376,1469,1465,205,150,0,170,200
118,1367,1339,1376,1469,1465,205,150,0,65,200
119,1367,1340,1376,1470,1466,205,45,0,65,200
120,1367,1340,1376,1470,1466,205,45,0,65,200
121,1367,1342,1376,1470,1465,205,145,0,170,200
122,1367,1342,1376,1470,1465,205,145,0,170,200
123,1367,1343,1376,1470,1466,205,145,0,65,200
