StartTime,CookTime,PlatenTime,CookZone,RearSP,MidSP,FrontSP,RearPID,MidPID,FrontPID
Time: 2016 Jan 22 15:03:39,155,10,3000,1406,1406,1406,"[5, 1, 1, 10, 1000, 1, 32767, -10, -22222]","[5, 1, 1, 10, 1000, 1, 32767, -10, -22222]","[5, 1, 1, 10, 100, 1, 32767, -50, -22222]"
Time,RearTemp,MiddleTemp,FrontTemp,UpGrate,LoGrate,RearPWM,MiddlePWM,FrontPWM,UpPWM,LoPWM
0,1376,1369,1378,1469,1466,160,50,195,165,190
1,1372,1357,1379,1469,1466,180,150,1000,165,85
2,1372,1357,1379,1468,1466,205,255,1000,165,190
3,1367,1346,1378,1468,1466,205,255,1000,165,190
4,1367,1346,1378,1468,1466,205,255,1000,165,85
5,1361,1338,1379,1468,1466,1000,155,1000,165,85
6,1361,1338,1379,1468,1466,1000,155,1000,165,85
7,1358,1330,1379,1468,1467,1000,155,1000,60,185
8,1358,1330,1379,1468,1467,1000,155,1000,60,185
9,1355,1325,1379,1468,1466,1000,155,1000,265,185
10,1355,1325,1379,1468,1466,1000,155,1000,265,185
11,1355,1325,1379,1468,1466,1000,155,1000,165,190
12,1352,1320,1378,1468,1466,1000,155,1000,165,190
13,1352,1320,1378,1468,1466,1000,155,1000,165,85
14,1350,1316,1379,1468,1466,1000,155,1000,165,85
15,1350,1316,1379,1468,1466,1000,155,1000,165,85
16,1347,1311,1379,1469,1466,1000,50,1000,165,185
17,1347,1311,1379,1469,1466,1000,50,1000,165,185
18,1346,1308,1378,1469,1466,1000,150,1000,165,190
19,1346,1308,1378,1469,1466,1000,150,1000,165,190
20,1344,1306,1379,1469,1466,1000,150,1000,165,85
21,1344,1306,1379,1469,1466,1000,150,1000,165,85
22,1344,1306,1379,1469,1467,320,45,510,60,80
23,1344,1306,1380,1470,1467,320,45,510,60,80
24,1344,1306,1380,1470,1467,320,45,1000,265,185
25,1344,1304,1379,1470,1466,320,145,1000,265,185
26,1344,1304,1379,1470,1466,320,145,1000,265,80
27,1344,1305,1380,1470,1466,320,145,0,165,80
28,1344,1305,1380,1470,1466,320,145,0,165,80
29,1344,1305,1379,1470,1467,320,145,515,60,185
30,1344,1305,1379,1470,1467,320,145,515,60,185
31,1346,1306,1379,1469,1466,0,250,0,265,185
32,1346,1306,1379,1469,1466,0,250,0,265,185
33,1346,1306,1379,1469,1466,310,150,0,165,80
34,1346,1307,1380,1469,1466,310,150,0,165,80
35,1346,1307,1380,1469,1466,310,150,0,165,185
36,1347,1308,1379,1468,1466,0,255,0,165,185
37,1347,1308,1379,1468,1466,0,255,0,165,80
38,1349,1311,1380,1468,1466,0,155,0,165,80
39,1349,1311,1380,1468,1466,0,155,0,165,80
40,1351,1312,1379,1469,1466,0,50,0,165,185
41,1351,1312,1379,1469,1466,0,50,0,165,185
42,1352,1316,1379,1469,1466,0,150,0,165,185
43,1352,1316,1379,1469,1466,0,150,0,165,185
44,1352,1316,1380,1469,1466,0,150,0,165,80
45,1353,1318,1380,1469,1466,0,150,0,165,80
46,1353,1318,1380,1469,1466,0,150,0,165,80
47,1355,1320,1378,1469,1467,0,150,0,60,190
48,1355,1320,1378,1469,1467,0,150,0,60,190
49,1356,1323,1379,1469,1466,0,150,0,265,85
50,1356,1323,1379,1469,1466,0,150,0,265,85
51,1358,1325,1379,1469,1466,0,150,0,165,185
52,1358,1325,1379,1469,1466,0,150,0,165,185
53,1358,1327,1379,1469,1466,250,150,0,165,185
54,1358,1327,1379,1469,1466,250,150,0,165,185
55,1358,1327,1379,1469,1466,250,150,0,165,190
56,1360,1329,1378,1469,1466,0,150,0,165,190
57,1360,1329,1378,1469,1466,0,150,0,60,190
58,1360,1330,1378,1469,1467,240,150,0,60,190
59,1360,1330,1378,1469,1467,240,150,0,60,190
60,1361,1334,1378,1469,1466,0,150,0,265,190
61,1361,1334,1378,1469,1466,0,150,0,265,190
