StartTime,CookTime,PlatenTime,CookZone,RearSP,MidSP,FrontSP,RearPID,MidPID,FrontPID
Time: 2016 Jan 22 15:35:59,155,10,3000,1406,1406,1406,"[5, 1, 1, 10, 1000, 1, 32767, -10, -22222]","[5, 1, 1, 10, 1000, 1, 32767, -10, -22222]","[5, 1, 1, 10, 100, 1, 32767, -50, -22222]"
Time,RearTemp,MiddleTemp,FrontTemp,UpGrate,LoGrate,RearPWM,UpPWM,MiddlePWM,LoPWM,FrontPWM
1,1373,1323,1374,1465,1463,175,70,425,180,210
2,1374,1324,1373,1465,1463,0,170,0,180,215
3,1374,1324,1373,1465,1463,0,170,0,180,215
4,1374,1326,1374,1464,1463,170,175,0,180,110
5,1374,1326,1374,1464,1463,170,175,0,180,110
6,1374,1328,1374,1465,1463,0,70,0,180,210
7,1375,1328,1374,1465,1463,0,70,0,180,210
8,1375,1328,1374,1465,1463,0,70,0,180,215
9,1375,1332,1373,1465,1463,165,170,0,180,215
10,1375,1332,1373,1465,1463,165,170,0,180,110
11,1378,1335,1374,1466,1464,0,65,0,75,110
12,1378,1335,1374,1466,1464,0,65,0,75,110
