StartTime,CookTime,PlatenTime,CookZone,RearSP,MidSP,FrontSP,RearPID,MidPID,FrontPID
Time: 2016 Jan 22 14:58:55,155,10,3000,1406,1406,1406,"[5, 1, 1, 10, 1000, 1, 32767, -10, -22222]","[5, 1, 1, 10, 1000, 1, 32767, -10, -22222]","[5, 1, 1, 10, 100, 1, 32767, -50, -22222]"
Time,RearTemp,MiddleTemp,FrontTemp,UpGrate,LoGrate,RearPWM,MiddlePWM,FrontPWM,UpPWM,LoPWM
0,1373,1362,1367,1468,1465,175,155,230,170,145
1,1373,1362,1367,1468,1465,210,155,1000,170,250
2,1366,1346,1366,1468,1465,210,155,1000,170,250
3,1366,1346,1366,1468,1465,210,155,1000,170,250
4,1351,1328,1367,1468,1464,1000,155,1000,275,145
5,1351,1328,1367,1468,1464,1000,155,1000,275,145
6,1339,1315,1368,1468,1465,1000,155,1000,70,140
7,1339,1315,1368,1468,1465,1000,155,1000,70,140
8,1333,1304,1368,1468,1464,1000,155,1000,275,240
9,1333,1304,1368,1468,1464,1000,155,1000,275,240
10,1333,1304,1368,1468,1465,1000,155,1000,70,240
11,1329,1296,1368,1468,1465,1000,155,1000,70,240
12,1329,1296,1368,1468,1465,1000,155,1000,170,240
13,1328,1291,1368,1468,1465,1000,155,1000,170,240
14,1328,1291,1368,1468,1465,1000,155,1000,170,240
15,1326,1288,1369,1469,1465,1000,50,1000,170,135
16,1326,1288,1369,1469,1465,1000,50,1000,170,135
17,1325,1286,1369,1469,1465,1000,150,1000,170,235
18,1325,1286,1369,1469,1465,1000,150,1000,170,235
19,1325,1285,1370,1470,1466,415,45,1000,65,130
20,1325,1285,1370,1470,1466,415,45,1000,65,130
21,1325,1285,1370,1470,1466,415,45,615,165,230
22,1325,1285,1370,1469,1466,415,250,615,165,230
23,1325,1285,1370,1469,1466,415,250,615,165,230
24,1325,1285,1370,1469,1466,415,150,615,165,230
25,1325,1285,1370,1469,1466,415,150,615,165,230
26,1326,1284,1371,1469,1466,0,150,1000,165,125
27,1326,1284,1371,1469,1466,0,150,1000,165,125
28,1326,1285,1371,1469,1466,410,150,0,165,225
29,1326,1285,1371,1469,1466,410,150,0,165,225
30,1327,1287,1371,1469,1466,0,150,0,165,225
31,1327,1287,1371,1469,1466,0,150,0,165,225
32,1327,1287,1371,1469,1466,0,150,1000,165,225
33,1329,1286,1371,1469,1466,0,150,1000,165,225
34,1329,1286,1371,1469,1466,0,150,1000,165,120
35,1332,1288,1372,1468,1465,0,255,0,270,120
36,1332,1288,1372,1468,1465,0,255,0,270,120
37,1333,1289,1371,1469,1465,0,50,0,170,225
38,1333,1289,1371,1469,1465,0,50,0,170,225
39,1335,1291,1372,1469,1466,0,150,0,65,120
40,1335,1291,1372,1469,1466,0,150,0,65,120
41,1335,1291,1372,1469,1465,0,150,0,270,220
42,1336,1292,1372,1469,1465,0,150,0,270,220
43,1336,1292,1372,1469,1465,0,150,0,170,115
44,1337,1295,1373,1469,1465,0,150,0,170,115
