StartTime,CookTime,PlatenTime,CookZone,RearSP,MidSP,FrontSP,RearPID,MidPID,FrontPID
Time: 2016 Jan 22 14:40:19,155,10,3000,1406,1406,1406,"[5, 1, 1, 10, 1000, 1, 32767, -10, -22222]","[5, 1, 1, 10, 1000, 1, 32767, -10, -22222]","[5, 1, 1, 10, 100, 1, 32767, -50, -22222]"
Time,RearTemp,MiddleTemp,FrontTemp,UpGrate,LoGrate,RearPWM,MiddlePWM,FrontPWM,UpPWM,LoPWM
0,1376,1353,1366,1469,1465,160,150,275,170,150
1,1373,1342,1366,1469,1465,175,150,330,170,250
2,1373,1326,1365,1469,1465,245,150,1000,170,255
3,1359,1326,1365,1469,1465,245,150,1000,170,255
4,1346,1311,1366,1469,1465,1000,150,1000,170,150
5,1346,1311,1366,1469,1465,1000,150,1000,170,150
6,1346,1311,1366,1469,1465,1000,150,1000,170,250
7,1341,1301,1366,1469,1465,1000,150,1000,170,250
8,1341,1301,1366,1469,1465,1000,150,1000,170,250
9,1337,1292,1366,1470,1465,1000,45,1000,170,250
10,1337,1292,1366,1470,1465,1000,45,1000,170,250
11,1336,1286,1366,1470,1466,1000,145,1000,65,250
12,1336,1286,1366,1470,1466,1000,145,1000,65,250
13,1335,1283,1367,1469,1465,1000,150,1000,170,145
14,1335,1283,1367,1469,1465,1000,150,1000,170,145
15,1335,1283,1367,1469,1466,365,150,1000,65,245
16,1335,1280,1367,1469,1466,365,150,1000,65,245
17,1335,1280,1367,1469,1466,365,150,1000,65,245
18,1335,1278,1367,1469,1466,365,150,1000,165,245
19,1335,1278,1367,1469,1466,365,150,1000,165,245
20,1335,1277,1367,1469,1466,365,150,1000,165,245
21,1335,1277,1367,1469,1466,365,150,1000,165,245
22,1336,1277,1367,1469,1465,0,150,655,170,245
23,1336,1277,1367,1469,1465,0,150,655,170,245
24,1337,1277,1367,1469,1466,0,150,655,65,245
25,1337,1277,1367,1469,1466,0,150,655,65,245
26,1337,1277,1367,1469,1466,0,150,0,165,245
27,1338,1278,1367,1469,1466,0,150,0,165,245
28,1338,1278,1367,1469,1466,0,150,0,165,245
29,1338,1279,1367,1469,1465,350,150,0,170,245
30,1338,1279,1367,1469,1465,350,150,0,170,245
31,1340,1280,1367,1468,1465,0,155,0,170,245
32,1340,1280,1367,1468,1465,0,155,0,170,245
33,1341,1283,1367,1469,1465,0,50,0,170,245
34,1341,1283,1367,1469,1465,0,50,0,170,245
35,1342,1285,1367,1470,1464,0,45,0,175,245
36,1342,1285,1367,1470,1464,0,45,0,175,245
37,1342,1285,1367,1470,1464,0,45,0,70,245
38,1344,1287,1367,1469,1465,0,150,0,70,245
39,1344,1287,1367,1469,1465,0,150,0,70,245
40,1345,1291,1367,1469,1465,0,150,0,170,245
41,1345,1291,1367,1469,1465,0,150,0,170,245
42,1346,1293,1367,1469,1465,0,150,0,170,245
43,1346,1293,1367,1469,1465,0,150,0,170,245
44,1347,1296,1367,1468,1464,0,155,0,175,245
45,1347,1296,1367,1468,1464,0,155,0,175,245
46,1347,1299,1367,1468,1465,0,155,0,70,245
47,1349,1299,1367,1468,1465,0,155,0,70,245
48,1349,1299,1367,1468,1465,0,155,0,170,245
49,1351,1301,1367,1468,1465,0,155,0,170,245
50,1351,1301,1367,1468,1465,0,155,0,170,245
51,1351,1304,1367,1469,1465,285,50,0,170,245
52,1351,1304,1367,1469,1465,285,50,0,170,245
53,1352,1305,1367,1469,1464,0,150,0,175,245
54,1352,1305,1367,1469,1464,0,150,0,175,245
55,1353,1306,1367,1468,1464,0,155,0,175,245
56,1353,1306,1367,1468,1464,0,155,0,175,245
57,1353,1308,1368,1469,1464,275,50,0,175,140
58,1353,1308,1368,1469,1464,275,50,0,175,140
59,1353,1308,1368,1469,1464,275,50,0,175,240
60,1354,1309,1368,1468,1464,0,155,0,175,240
61,1354,1309,1368,1468,1464,0,155,0,175,240
62,1353,1310,1367,1469,1465,275,50,0,70,245
63,1353,1310,1367,1469,1465,275,50,0,70,245
64,1354,1310,1367,1468,1464,0,155,490,175,245
65,1354,1310,1367,1468,1464,0,155,490,175,245
66,1355,1310,1367,1468,1465,0,155,490,70,245
67,1355,1310,1367,1468,1465,0,155,490,70,245
68,1355,1310,1367,1468,1465,0,160,0,175,245
69,1355,1311,1367,1467,1464,265,160,0,175,245
70,1355,1311,1367,1467,1464,265,160,0,180,245
71,1355,1311,1367,1468,1463,265,55,485,180,245
72,1355,1311,1367,1468,1463,265,55,485,180,245
73,1355,1311,1367,1467,1464,265,160,485,75,245
74,1355,1311,1367,1467,1464,265,160,485,75,245
75,1355,1310,1366,1468,1464,265,55,490,175,250
76,1355,1310,1366,1468,1464,265,55,490,175,250
77,1356,1310,1366,1468,1463,0,155,490,180,250
78,1356,1310,1366,1468,1463,0,155,490,180,250
79,1356,1310,1366,1468,1463,0,160,490,75,250
80,1356,1310,1366,1467,1464,260,160,490,75,250
81,1356,1310,1366,1467,1464,260,160,490,175,250
82,1356,1310,1366,1467,1464,260,160,490,175,250
83,1356,1310,1366,1467,1464,260,160,490,175,250
84,1356,1310,1366,1467,1464,260,160,490,175,250
85,1356,1310,1366,1467,1464,260,160,490,175,250
86,1357,1310,1367,1467,1464,0,160,490,175,145
87,1357,1310,1367,1467,1464,0,160,490,175,145
88,1357,1310,1367,1467,1463,255,160,490,180,250
89,1357,1310,1366,1467,1463,255,160,490,180,250
90,1357,1310,1366,1467,1463,255,160,0,180,255
91,1357,1311,1365,1467,1463,255,160,0,180,255
92,1357,1311,1365,1467,1463,255,160,485,180,255
93,1357,1311,1365,1467,1463,255,160,485,180,255
94,1357,1311,1365,1467,1463,255,160,485,180,255
95,1358,1313,1366,1467,1464,0,160,0,75,150
96,1358,1313,1366,1467,1464,0,160,0,75,150
97,1359,1315,1365,1467,1464,0,160,0,175,255
98,1359,1315,1365,1467,1464,0,160,0,175,255
99,1359,1315,1365,1468,1464,245,55,0,175,255
100,1359,1316,1365,1468,1464,245,55,0,175,255
101,1359,1316,1365,1468,1464,245,155,0,175,255
102,1359,1319,1365,1468,1464,245,155,0,175,255
103,1359,1319,1365,1468,1464,245,155,0,175,255
104,1359,1321,1365,1467,1463,245,160,0,180,255
105,1359,1321,1365,1467,1463,245,160,0,180,255
106,1360,1323,1365,1468,1464,0,55,0,75,255
107,1360,1323,1365,1468,1464,0,55,0,75,255
108,1360,1324,1363,1468,1464,240,155,0,175,265
109,1360,1324,1363,1468,1464,240,155,0,175,265
110,1360,1326,1365,1468,1464,0,155,0,175,55
111,1361,1326,1365,1468,1464,0,155,0,175,55
112,1361,1326,1365,1468,1464,0,155,0,175,265
113,1361,1327,1363,1468,1464,235,155,0,175,265
114,1361,1327,1363,1468,1464,235,155,0,175,265
115,1361,1329,1363,1468,1464,235,155,0,175,265
116,1361,1329,1363,1468,1464,235,155,0,175,265
117,1362,1330,1363,1467,1464,0,160,0,175,265
118,1362,1330,1363,1467,1464,0,160,0,175,265
119,1363,1332,1363,1468,1464,0,55,0,175,265
120,1363,1332,1363,1468,1464,0,55,0,175,265
121,1363,1332,1363,1468,1465,230,155,380,70,265
122,1362,1332,1363,1468,1465,230,155,380,70,265
123,1362,1332,1363,1468,1465,230,155,380,70,265
124,1363,1334,1362,1468,1464,0,155,0,175,270
125,1363,1334,1362,1468,1464,0,155,0,175,270
126,1365,1335,1362,1468,1464,0,155,0,175,270
127,1365,1335,1362,1468,1464,0,155,0,175,270
128,1365,1335,1361,1468,1464,215,155,365,175,275
129,1365,1335,1361,1468,1464,215,155,365,175,275
130,1366,1336,1362,1468,1465,0,155,0,70,170
131,1366,1336,1362,1468,1465,0,155,0,70,170
132,1366,1336,1362,1468,1465,0,155,365,175,275
133,1366,1335,1361,1468,1464,210,155,365,175,275
134,1366,1335,1361,1468,1464,210,155,0,175,275
135,1366,1336,1361,1468,1464,210,155,0,175,275
136,1366,1336,1361,1468,1464,210,155,0,175,275
137,1367,1337,1360,1468,1465,0,155,0,70,280
138,1367,1337,1360,1468,1465,0,155,0,70,280
139,1366,1337,1360,1469,1465,210,50,355,170,280
140,1366,1337,1360,1469,1465,210,50,355,170,280
141,1366,1337,1360,1469,1465,0,150,0,170,285
142,1367,1338,1359,1469,1465,0,150,0,170,285
143,1367,1338,1359,1469,1465,0,150,0,170,285
144,1368,1339,1359,1469,1465,0,150,0,170,285
145,1368,1339,1359,1469,1465,0,150,0,175,290
146,1367,1339,1358,1469,1464,205,150,345,175,290
147,1367,1339,1358,1469,1464,205,150,345,175,290
148,1368,1340,1359,1469,1464,0,150,0,175,185
149,1368,1340,1359,1469,1464,0,150,0,175,185
150,1368,1340,1358,1469,1465,200,150,340,70,290
151,1368,1340,1358,1469,1465,200,150,340,70,290
152,1368,1341,1357,1469,1464,200,150,0,175,295
153,1368,1341,1357,1469,1464,200,150,0,175,295
154,1368,1341,1357,1469,1464,0,150,335,70,295
155,1369,1341,1357,1469,1465,0,150,335,70,295
156,1369,1341,1357,1469,1465,0,150,335,70,295
157,1368,1342,1356,1470,1464,200,45,0,175,300
158,1368,1342,1356,1470,1464,200,45,0,175,300
159,1368,1343,1356,1470,1465,200,145,0,70,300
160,1368,1343,1356,1470,1465,200,145,0,70,300
161,1369,1343,1356,1470,1464,0,145,325,175,300
162,1369,1343,1356,1470,1464,0,145,325,175,300
163,1369,1343,1356,1470,1464,0,40,0,70,300
164,1370,1344,1356,1471,1465,0,40,0,70,300
